Phrase,Category,Label
Help me!,Distress,1
Please call the police!,Distress,1
I'm in danger!,Distress,1
I don't feel safe!,Distress,1
Someone is following me!,Distress,1
I need help!,Distress,1
He won't leave me alone!,Distress,1
He's threatening me!,Distress,1
I need to get away from here!,Distress,1
I'm scared!,Distress,1
I think he's going to hurt me!,Distress,1
Stay away from me!,Distress,1
Can you stay with me?,Distress,1
I feel trapped!,Distress,1
I need to hide!,Distress,1
Can you call the police for me?,Distress,1
He's trying to hurt me!,Distress,1
I'm being followed!,Distress,1
Please don't leave me alone!,Distress,1
He's not letting me go!,Distress,1
I'm in a bad situation!,Distress,1
Can you walk me home?,Distress,1
"Please help, I'm scared!",Distress,1
I'm trying to escape!,Distress,1
I think he's dangerous!,Distress,1
He's stalking me!,Distress,1
I'm being harassed!,Distress,1
I don't know this person!,Distress,1
He's grabbing me!,Distress,1
I need to get away from him!,Distress,1
"I'm trying to run, but I can't!",Distress,1
He's blocking my path!,Distress,1
He's following me in his car!,Distress,1
Please stop following me!,Distress,1
I'm not safe!,Distress,1
I feel threatened!,Distress,1
He's forcing me to go with him!,Distress,1
I don't know what to do!,Distress,1
He's trying to take me!,Distress,1
I'm in an abusive relationship!,Distress,1
"I can't breathe, help!",Distress,1
He won't let me go!,Distress,1
I'm being restrained!,Distress,1
"Please, he's going to hurt me!",Distress,1
Can you get help?,Distress,1
I'm being held against my will!,Distress,1
I'm in a violent situation!,Distress,1
He's making me do things I don't want to!,Distress,1
I'm trapped in here!,Distress,1
"He's watching me, I can't move!",Distress,1
"I'm being followed, help!",Distress,1
Please don’t touch me!,Distress,1
I need to get out of here!,Distress,1
I think he's trying to kidnap me!,Distress,1
He is not leaving me alone!,Distress,1
I don't know this man!,Distress,1
He's making me uncomfortable!,Distress,1
I'm scared for my safety!,Distress,1
I think he's watching me!,Distress,1
He's blocking my way!,Distress,1
I need to find a safe place!,Distress,1
I don't feel okay around him!,Distress,1
He's been following me for a while!,Distress,1
Please call someone for help!,Distress,1
I can't get away from him!,Distress,1
I'm not safe right now!,Distress,1
He's being aggressive!,Distress,1
I need to get out quickly!,Distress,1
He's making threats!,Distress,1
He's waiting outside!,Distress,1
He won't let me leave!,Distress,1
He is trying to force me into his car!,Distress,1
I think he's dangerous!,Distress,1
"Can you help me, I am scared?",Distress,1
He is yelling at me!,Distress,1
He is chasing me!,Distress,1
I need to escape!,Distress,1
I feel cornered!,Distress,1
He is been following me for hours!,Distress,1
He won't stop harassing me!,Distress,1
I don't feel comfortable with him around!,Distress,1
